promo_id,game_id,season,game_date,homestand_id,opponent,day_of_week,weekend_flag,promo_name,promo_category,promo_type,primary_promo_flag,sponsor_attached_flag,giveaway_flag,fireworks_flag,theme_night_flag,family_flag,dog_day_flag,jersey_auction_flag,expected_fan_segment,public_announced_attendance,tickets_sold,scanned_attendance,scan_rate,no_show_ticket_quantity,no_show_rate,ticket_order_count,unique_ticket_buyers,repeat_buyer_count,repeat_buyer_rate,group_tickets,group_revenue,merch_net_sales,concession_net_sales,revenue_per_scanned_fan,merch_per_scanned_fan,concession_per_scanned_fan,in_park_spend_per_scanned_fan,total_revenue_indicator,fan_engagement_count,unique_engaged_fans,avg_engagement_score,follow_up_opportunity_count,high_priority_opportunity_count,crm_follow_up_task_count,future_revenue_opportunity,baseline_scanned_attendance,baseline_merch_per_scanned_fan,baseline_concession_per_scanned_fan,baseline_revenue_per_scanned_fan,baseline_repeat_buyer_rate,scanned_attendance_lift_vs_slot,merch_lift_per_scanned_fan,concession_lift_per_scanned_fan,revenue_lift_per_scanned_fan,repeat_buyer_rate_lift_vs_slot,total_value_index,recommendation,recommendation_reason
PROMO_00011,TP_2023_009,2023,2023-04-23,2023_HS_02,Biloxi,Sunday,True,Military Sunday,community,military_recognition,False,False,False,False,False,False,False,False,military_families,5148,6649,5903,0.8878,746,0.1122,1905,601,528,0.8785,700,8937.28,9071.0,32381.04,17.54,1.54,5.49,7.02,144971.61,729,350,27.1687,29,21,5,6727.63,5532,1.55,5.51,17.87,0.943,371,-0.01,-0.02,-0.33,-0.0645,45.0,review,Mixed performance; needs review before committing future promo inventory
PROMO_00012,TP_2023_010,2023,2023-05-02,2023_HS_03,Tennessee,Tuesday,False,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,3547,4883,3937,0.8063,946,0.1937,1154,651,405,0.6221,1221,18011.65,5387.33,16665.65,19.71,1.37,4.23,5.6,99650.57,397,253,29.0403,28,23,11,11154.1,4627,1.26,4.47,19.43,0.7766,-690,0.11,-0.24,0.28,-0.1545,28.1,review,Mixed performance; needs review before committing future promo inventory
PROMO_00013,TP_2023_012,2023,2023-05-04,2023_HS_03,Tennessee,Thursday,False,Pregame Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,5767,6709,5716,0.852,993,0.148,1978,809,745,0.9209,341,5012.53,7789.76,24148.85,18.69,1.36,4.22,5.59,138746.19,745,394,26.6846,18,12,5,5349.28,4527,1.26,4.39,18.5,0.8373,1189,0.11,-0.16,0.18,0.0836,34.8,review,Mixed performance; needs review before committing future promo inventory
PROMO_00014,TP_2023_012,2023,2023-05-04,2023_HS_03,Tennessee,Thursday,False,Burgers and Buds Thursday,weekly_promo,concession_value_offer,False,False,False,False,False,False,False,False,concession_value_seekers,5767,6709,5716,0.852,993,0.148,1978,809,745,0.9209,341,5012.53,7789.76,24148.85,18.69,1.36,4.22,5.59,138746.19,745,394,26.6846,18,12,5,5349.28,4527,1.26,4.39,18.5,0.8373,1189,0.11,-0.16,0.18,0.0836,34.8,review,Mixed performance; needs review before committing future promo inventory
PROMO_00015,TP_2023_013,2023,2023-05-05,2023_HS_03,Tennessee,Friday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,4498,6174,5811,0.9412,363,0.0588,1611,785,721,0.9185,1068,14169.3,10580.15,30999.75,18.93,1.82,5.33,7.16,151553.78,658,378,25.2356,25,20,8,7579.78,6716,1.89,5.34,19.28,0.877,-906,-0.07,-0.01,-0.35,0.0414,49.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00016,TP_2023_014,2023,2023-05-06,2023_HS_03,Tennessee,Saturday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,5968,7905,7415,0.938,490,0.062,2295,890,843,0.9472,570,9040.98,14998.55,34284.73,19.58,2.02,4.62,6.65,194484.61,946,493,26.3742,14,13,3,4292.78,7110,1.8,5.15,19.17,0.9054,305,0.22,-0.53,0.41,0.0418,52.4,review,Mixed performance; needs review before committing future promo inventory
PROMO_00017,TP_2023_015,2023,2023-05-07,2023_HS_03,Tennessee,Sunday,True,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,4860,6685,5942,0.8889,743,0.1111,1793,832,765,0.9195,906,11861.42,9159.68,34655.89,17.89,1.54,5.83,7.37,150138.32,771,409,26.751,26,19,6,5219.1,5532,1.55,5.51,17.87,0.943,410,-0.01,0.32,0.02,-0.0236,48.6,review,Mixed performance; needs review before committing future promo inventory
PROMO_00018,TP_2023_015,2023,2023-05-07,2023_HS_03,Tennessee,Sunday,True,Military Sunday,community,military_recognition,False,False,False,False,False,False,False,False,military_families,4860,6685,5942,0.8889,743,0.1111,1793,832,765,0.9195,906,11861.42,9159.68,34655.89,17.89,1.54,5.83,7.37,150138.32,771,409,26.751,26,19,6,5219.1,5532,1.55,5.51,17.87,0.943,410,-0.01,0.32,0.02,-0.0236,48.6,review,Mixed performance; needs review before committing future promo inventory
PROMO_00019,TP_2023_016,2023,2023-05-16,2023_HS_04,Birmingham,Tuesday,False,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,3801,4709,3808,0.8087,901,0.1913,1286,819,627,0.7656,591,9078.22,4436.37,17650.64,20.33,1.17,4.64,5.8,99504.0,485,313,26.134,13,10,2,3179.59,4627,1.26,4.47,19.43,0.7766,-819,-0.1,0.17,0.9,-0.0111,24.2,review,Mixed performance; needs review before committing future promo inventory
PROMO_00020,TP_2023_017,2023,2023-05-17,2023_HS_04,Birmingham,Wednesday,False,All You Can Eat Wednesday,weekly_promo,concession_value_offer,True,False,False,False,False,False,False,False,value_seekers,3872,5025,4045,0.805,980,0.195,1337,843,712,0.8446,873,11358.25,3664.95,15813.83,19.7,0.91,3.91,4.82,99173.34,502,336,25.741,21,17,6,5250.65,4346,1.22,4.47,19.43,0.8908,-301,-0.32,-0.56,0.27,-0.0462,23.0,review,Mixed performance; needs review before committing future promo inventory
PROMO_00021,TP_2023_017,2023,2023-05-17,2023_HS_04,Birmingham,Wednesday,False,Dog Days,weekly_promo,dog_day,False,False,False,False,False,False,True,False,dog_owners,3872,5025,4045,0.805,980,0.195,1337,843,712,0.8446,873,11358.25,3664.95,15813.83,19.7,0.91,3.91,4.82,99173.34,502,336,25.741,21,17,6,5250.65,4346,1.22,4.47,19.43,0.8908,-301,-0.32,-0.56,0.27,-0.0462,23.0,review,Mixed performance; needs review before committing future promo inventory
PROMO_00022,TP_2023_018,2023,2023-05-18,2023_HS_04,Birmingham,Thursday,False,Pregame Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,3315,5214,4419,0.8475,795,0.1525,1216,799,720,0.9011,1427,18907.85,6312.5,18745.21,19.01,1.43,4.24,5.67,109066.21,441,307,28.1315,21,19,8,8530.63,4527,1.26,4.39,18.5,0.8373,-108,0.17,-0.15,0.51,0.0638,34.9,review,Mixed performance; needs review before committing future promo inventory
PROMO_00023,TP_2023_018,2023,2023-05-18,2023_HS_04,Birmingham,Thursday,False,Burgers and Buds Thursday,weekly_promo,concession_value_offer,False,False,False,False,False,False,False,False,concession_value_seekers,3315,5214,4419,0.8475,795,0.1525,1216,799,720,0.9011,1427,18907.85,6312.5,18745.21,19.01,1.43,4.24,5.67,109066.21,441,307,28.1315,21,19,8,8530.63,4527,1.26,4.39,18.5,0.8373,-108,0.17,-0.15,0.51,0.0638,34.9,review,Mixed performance; needs review before committing future promo inventory
PROMO_00024,TP_2023_019,2023,2023-05-19,2023_HS_04,Birmingham,Friday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,6075,7722,7253,0.9393,469,0.0607,2212,1090,1020,0.9358,633,8369.92,14319.77,40725.04,19.15,1.97,5.61,7.59,193964.05,881,517,26.4427,15,11,6,5553.26,6716,1.89,5.34,19.28,0.877,536,0.09,0.27,-0.12,0.0588,57.3,rework,"Shows value, but one or more connected metrics need improvement"
PROMO_00025,TP_2023_020,2023,2023-05-20,2023_HS_04,Birmingham,Saturday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,5562,7314,6819,0.9323,495,0.0677,2009,1065,991,0.9305,866,11543.64,13374.79,33510.2,19.46,1.96,4.91,6.88,179571.05,838,511,26.5048,20,14,8,8142.59,7110,1.8,5.15,19.17,0.9054,-291,0.16,-0.24,0.28,0.0251,51.6,review,Mixed performance; needs review before committing future promo inventory
PROMO_00026,TP_2023_021,2023,2023-05-21,2023_HS_04,Birmingham,Sunday,True,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,4216,5650,5045,0.8929,605,0.1071,1492,918,874,0.9521,884,10972.82,8404.54,26165.45,17.57,1.67,5.19,6.85,123228.31,626,405,26.3978,19,14,4,3708.07,5532,1.55,5.51,17.87,0.943,-487,0.12,-0.32,-0.3,0.009,40.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00027,TP_2023_021,2023,2023-05-21,2023_HS_04,Birmingham,Sunday,True,Military Sunday,community,military_recognition,False,False,False,False,False,False,False,False,military_families,4216,5650,5045,0.8929,605,0.1071,1492,918,874,0.9521,884,10972.82,8404.54,26165.45,17.57,1.67,5.19,6.85,123228.31,626,405,26.3978,19,14,4,3708.07,5532,1.55,5.51,17.87,0.943,-487,0.12,-0.32,-0.3,0.009,40.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00028,TP_2023_022,2023,2023-05-23,2023_HS_04,Chattanooga,Tuesday,False,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,4296,6363,5148,0.8091,1215,0.1909,1436,924,843,0.9123,1878,23344.21,5971.83,21435.3,18.4,1.16,4.16,5.32,122150.29,520,349,26.3327,39,34,17,16837.02,4627,1.26,4.47,19.43,0.7766,521,-0.1,-0.31,-1.03,0.1357,37.6,review,Mixed performance; needs review before committing future promo inventory
PROMO_00029,TP_2023_023,2023,2023-05-24,2023_HS_04,Chattanooga,Wednesday,False,All You Can Eat Wednesday,weekly_promo,concession_value_offer,True,False,False,False,False,False,False,False,value_seekers,4583,5646,4539,0.8039,1107,0.1961,1485,943,888,0.9417,955,13946.71,5770.55,18962.19,19.72,1.27,4.18,5.45,114257.08,520,347,26.9327,24,23,9,11148.09,4346,1.22,4.47,19.43,0.8908,193,0.05,-0.29,0.29,0.0509,29.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00030,TP_2023_023,2023,2023-05-24,2023_HS_04,Chattanooga,Wednesday,False,Dog Days,weekly_promo,dog_day,False,False,False,False,False,False,True,False,dog_owners,4583,5646,4539,0.8039,1107,0.1961,1485,943,888,0.9417,955,13946.71,5770.55,18962.19,19.72,1.27,4.18,5.45,114257.08,520,347,26.9327,24,23,9,11148.09,4346,1.22,4.47,19.43,0.8908,193,0.05,-0.29,0.29,0.0509,29.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00031,TP_2023_024,2023,2023-05-25,2023_HS_04,Chattanooga,Thursday,False,Pregame Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,4018,5667,4821,0.8507,846,0.1493,1453,963,894,0.9283,1018,13423.39,6068.9,22480.87,18.57,1.26,4.66,5.92,118094.78,542,370,26.8339,26,21,7,8256.61,4527,1.26,4.39,18.5,0.8373,294,0.0,0.28,0.07,0.091,35.8,review,Mixed performance; needs review before committing future promo inventory
PROMO_00032,TP_2023_024,2023,2023-05-25,2023_HS_04,Chattanooga,Thursday,False,Burgers and Buds Thursday,weekly_promo,concession_value_offer,False,False,False,False,False,False,False,False,concession_value_seekers,4018,5667,4821,0.8507,846,0.1493,1453,963,894,0.9283,1018,13423.39,6068.9,22480.87,18.57,1.26,4.66,5.92,118094.78,542,370,26.8339,26,21,7,8256.61,4527,1.26,4.39,18.5,0.8373,294,0.0,0.28,0.07,0.091,35.8,review,Mixed performance; needs review before committing future promo inventory
PROMO_00033,TP_2023_025,2023,2023-05-26,2023_HS_04,Chattanooga,Friday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,5349,8009,7571,0.9453,438,0.0547,2159,1150,1067,0.9278,1326,18833.7,13969.91,37080.06,19.01,1.85,4.9,6.74,194980.25,861,506,26.0023,27,26,12,11926.68,6716,1.89,5.34,19.28,0.877,854,-0.04,-0.45,-0.27,0.0508,59.9,rework,"Shows value, but one or more connected metrics need improvement"
PROMO_00034,TP_2023_026,2023,2023-05-27,2023_HS_04,Chattanooga,Saturday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,5966,7864,7355,0.9353,509,0.0647,2260,1190,1133,0.9521,847,9828.97,14051.7,39415.51,18.62,1.91,5.36,7.27,190433.58,938,569,25.7665,17,13,5,3870.6,7110,1.8,5.15,19.17,0.9054,245,0.11,0.21,-0.55,0.0467,56.0,rework,"Shows value, but one or more connected metrics need improvement"
PROMO_00035,TP_2023_027,2023,2023-05-28,2023_HS_04,Chattanooga,Sunday,True,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,6041,7703,6858,0.8903,845,0.1097,2109,1171,1114,0.9513,991,15385.98,11373.29,33803.65,17.83,1.66,4.93,6.59,167432.41,849,528,27.0294,28,22,13,12040.12,5532,1.55,5.51,17.87,0.943,1326,0.11,-0.58,-0.04,0.0083,50.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00036,TP_2023_027,2023,2023-05-28,2023_HS_04,Chattanooga,Sunday,True,Military Sunday,community,military_recognition,False,False,False,False,False,False,False,False,military_families,6041,7703,6858,0.8903,845,0.1097,2109,1171,1114,0.9513,991,15385.98,11373.29,33803.65,17.83,1.66,4.93,6.59,167432.41,849,528,27.0294,28,22,13,12040.12,5532,1.55,5.51,17.87,0.943,1326,0.11,-0.58,-0.04,0.0083,50.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00037,TP_2023_028,2023,2023-06-06,2023_HS_05,Tennessee,Tuesday,False,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,3906,5329,4331,0.8127,998,0.1873,1389,962,811,0.843,1003,13064.59,5535.98,17838.9,18.89,1.28,4.12,5.4,105192.88,484,331,26.4752,30,24,7,7366.02,4627,1.26,4.47,19.43,0.7766,-296,0.02,-0.35,-0.54,0.0664,27.9,review,Mixed performance; needs review before committing future promo inventory
PROMO_00038,TP_2023_029,2023,2023-06-07,2023_HS_05,Tennessee,Wednesday,False,All You Can Eat Wednesday,weekly_promo,concession_value_offer,True,False,False,False,False,False,False,False,value_seekers,3824,5260,4233,0.8048,1027,0.1952,1303,963,854,0.8868,1162,12909.8,5217.81,20134.21,18.21,1.23,4.76,5.99,102434.92,457,331,27.0766,30,27,14,14564.49,4346,1.22,4.47,19.43,0.8908,-113,0.01,0.29,-1.22,-0.004,30.9,retire,"Weak total value with negative attendance, revenue, and repeat buyer signals"
PROMO_00039,TP_2023_029,2023,2023-06-07,2023_HS_05,Tennessee,Wednesday,False,Dog Days,weekly_promo,dog_day,False,False,False,False,False,False,True,False,dog_owners,3824,5260,4233,0.8048,1027,0.1952,1303,963,854,0.8868,1162,12909.8,5217.81,20134.21,18.21,1.23,4.76,5.99,102434.92,457,331,27.0766,30,27,14,14564.49,4346,1.22,4.47,19.43,0.8908,-113,0.01,0.29,-1.22,-0.004,30.9,retire,"Weak total value with negative attendance, revenue, and repeat buyer signals"
PROMO_00040,TP_2023_030,2023,2023-06-08,2023_HS_05,Tennessee,Thursday,False,Pregame Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,5054,6609,5618,0.8501,991,0.1499,1712,1124,1030,0.9164,1168,15191.64,6360.07,26915.64,18.55,1.13,4.79,5.92,137501.72,663,454,26.9035,31,23,17,16563.05,4527,1.26,4.39,18.5,0.8373,1091,-0.13,0.4,0.05,0.079,41.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00041,TP_2023_030,2023,2023-06-08,2023_HS_05,Tennessee,Thursday,False,Burgers and Buds Thursday,weekly_promo,concession_value_offer,False,False,False,False,False,False,False,False,concession_value_seekers,5054,6609,5618,0.8501,991,0.1499,1712,1124,1030,0.9164,1168,15191.64,6360.07,26915.64,18.55,1.13,4.79,5.92,137501.72,663,454,26.9035,31,23,17,16563.05,4527,1.26,4.39,18.5,0.8373,1091,-0.13,0.4,0.05,0.079,41.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00042,TP_2023_031,2023,2023-06-09,2023_HS_05,Tennessee,Friday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,6393,8908,8364,0.9389,544,0.0611,2473,1384,1299,0.9386,928,15720.65,17083.14,47650.68,19.35,2.04,5.7,7.74,226573.49,986,606,25.8134,20,16,10,12056.88,6716,1.89,5.34,19.28,0.877,1648,0.15,0.35,0.07,0.0616,67.1,rework,"Shows value, but one or more connected metrics need improvement"
PROMO_00043,TP_2023_032,2023,2023-06-10,2023_HS_05,Tennessee,Saturday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,6748,8368,7879,0.9416,489,0.0584,2357,1372,1320,0.9621,739,9446.69,12905.91,40907.56,19.01,1.64,5.19,6.83,203627.87,962,600,25.9064,18,16,6,6208.75,7110,1.8,5.15,19.17,0.9054,769,-0.16,0.04,-0.16,0.0567,57.0,rework,"Shows value, but one or more connected metrics need improvement"
PROMO_00044,TP_2023_033,2023,2023-06-11,2023_HS_05,Tennessee,Sunday,True,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,4120,5648,5040,0.8924,608,0.1076,1537,1068,1020,0.9551,782,11062.68,8022.29,25648.26,17.82,1.59,5.09,6.68,123503.39,607,417,25.7661,27,21,16,11449.0,5532,1.55,5.51,17.87,0.943,-492,0.04,-0.42,-0.05,0.012,39.3,review,Mixed performance; needs review before committing future promo inventory
PROMO_00045,TP_2023_033,2023,2023-06-11,2023_HS_05,Tennessee,Sunday,True,Military Sunday,community,military_recognition,False,False,False,False,False,False,False,False,military_families,4120,5648,5040,0.8924,608,0.1076,1537,1068,1020,0.9551,782,11062.68,8022.29,25648.26,17.82,1.59,5.09,6.68,123503.39,607,417,25.7661,27,21,16,11449.0,5532,1.55,5.51,17.87,0.943,-492,0.04,-0.42,-0.05,0.012,39.3,review,Mixed performance; needs review before committing future promo inventory
PROMO_00046,TP_2023_034,2023,2023-06-20,2023_HS_06,Montgomery,Tuesday,False,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,0,6139,4991,0.813,1148,0.187,1708,1185,996,0.8405,854,11589.2,5604.03,22158.36,19.33,1.12,4.44,5.56,124221.86,644,446,27.8106,24,21,7,9161.07,4627,1.26,4.47,19.43,0.7766,364,-0.14,-0.03,-0.1,0.0639,31.7,review,Mixed performance; needs review before committing future promo inventory
PROMO_00047,TP_2023_035,2023,2023-06-21,2023_HS_06,Montgomery,Wednesday,False,All You Can Eat Wednesday,weekly_promo,concession_value_offer,True,False,False,False,False,False,False,False,value_seekers,0,6393,5212,0.8153,1181,0.1847,1730,1215,1080,0.8889,916,12707.38,7020.95,25631.88,19.61,1.35,4.92,6.26,134879.38,629,454,27.0254,32,25,11,11089.69,4346,1.22,4.47,19.43,0.8908,866,0.12,0.45,0.18,-0.0019,38.1,review,Mixed performance; needs review before committing future promo inventory
PROMO_00048,TP_2023_035,2023,2023-06-21,2023_HS_06,Montgomery,Wednesday,False,Dog Days,weekly_promo,dog_day,False,False,False,False,False,False,True,False,dog_owners,0,6393,5212,0.8153,1181,0.1847,1730,1215,1080,0.8889,916,12707.38,7020.95,25631.88,19.61,1.35,4.92,6.26,134879.38,629,454,27.0254,32,25,11,11089.69,4346,1.22,4.47,19.43,0.8908,866,0.12,0.45,0.18,-0.0019,38.1,review,Mixed performance; needs review before committing future promo inventory
PROMO_00049,TP_2023_036,2023,2023-06-22,2023_HS_06,Montgomery,Thursday,False,Pregame Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,4835,6241,5281,0.8462,960,0.1538,1712,1203,1126,0.936,809,14278.23,7158.77,22555.01,19.09,1.36,4.27,5.63,130529.67,642,440,27.7523,32,29,11,12438.37,4527,1.26,4.39,18.5,0.8373,754,0.1,-0.12,0.59,0.0987,35.9,review,Mixed performance; needs review before committing future promo inventory
PROMO_00050,TP_2023_036,2023,2023-06-22,2023_HS_06,Montgomery,Thursday,False,Burgers and Buds Thursday,weekly_promo,concession_value_offer,False,False,False,False,False,False,False,False,concession_value_seekers,4835,6241,5281,0.8462,960,0.1538,1712,1203,1126,0.936,809,14278.23,7158.77,22555.01,19.09,1.36,4.27,5.63,130529.67,642,440,27.7523,32,29,11,12438.37,4527,1.26,4.39,18.5,0.8373,754,0.1,-0.12,0.59,0.0987,35.9,review,Mixed performance; needs review before committing future promo inventory
PROMO_00051,TP_2023_037,2023,2023-06-23,2023_HS_06,Montgomery,Friday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,5970,7978,7507,0.941,471,0.059,2304,1452,1368,0.9421,675,8161.76,14850.42,42189.05,19.44,1.98,5.62,7.6,202953.86,964,610,26.2521,23,20,11,10939.47,6716,1.89,5.34,19.28,0.877,790,0.09,0.28,0.16,0.0651,59.8,rework,"Shows value, but one or more connected metrics need improvement"
