fan_id,household_id,fan_segment,city,state,acquisition_channel,total_orders,total_tickets,total_revenue,group_orders,group_tickets,group_revenue,avg_tickets_per_order,group_sales_score,upgrade_potential_score,days_since_last_game,email_opt_in,sms_opt_in,recommended_crm_action,group_sales_priority,recommended_contact_channel
FAN0000645,HH0000645,corporate_group,Huntsville,AL,sponsorship_relationship,8,268,5468.63,8,268,5468.63,33.50,100,85,404,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0029069,HH0029069,corporate_group,Chattanooga,TN,sponsorship_relationship,6,256,5330.46,6,256,5330.46,42.67,100,85,96,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0022734,HH0022734,corporate_group,Huntsville,AL,group_sales_rep,7,265,5285.26,7,265,5285.26,37.86,100,85,142,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0011833,HH0011833,corporate_group,Harvest,AL,group_sales_rep,7,255,5237.24,7,255,5237.24,36.43,100,85,93,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0073281,HH0073281,corporate_group,Madison,AL,sponsorship_relationship,5,245,5163.42,5,245,5163.42,49.00,100,75,0,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
FAN0003788,HH0003788,corporate_group,Madison,AL,ticket_rep,8,255,5150.48,8,255,5150.48,31.88,100,85,93,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0016835,HH0016835,corporate_group,Athens,AL,group_sales_rep,7,258,5150.10,7,258,5150.10,36.86,100,85,158,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0008590,HH0008590,corporate_group,Madison,AL,group_sales_rep,8,258,5039.88,8,258,5039.88,32.25,100,85,87,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0017000,HH0017000,corporate_group,Harvest,AL,ticket_rep,6,240,5008.15,6,240,5008.15,40.00,100,85,107,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0025693,HH0025693,corporate_group,Huntsville,AL,group_sales_rep,7,248,4975.99,7,248,4975.99,35.43,100,85,44,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0004611,HH0004611,corporate_group,Harvest,AL,group_sales_rep,7,244,4965.04,7,244,4965.04,34.86,100,85,401,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0014002,HH0014002,corporate_group,Birmingham,AL,group_sales_rep,6,242,4939.04,6,242,4939.04,40.33,100,75,753,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0000783,HH0000783,corporate_group,Huntsville,AL,group_sales_rep,6,243,4912.00,6,243,4912.00,40.50,100,85,768,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0034369,HH0034369,corporate_group,Madison,AL,group_sales_rep,6,246,4885.41,6,246,4885.41,41.00,100,85,73,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000640,HH0000640,corporate_group,Huntsville,AL,sponsorship_relationship,6,246,4870.04,6,246,4870.04,41.00,100,85,46,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0004443,HH0004443,corporate_group,Huntsville,AL,sponsorship_relationship,7,253,4856.96,7,253,4856.96,36.14,100,85,453,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0006246,HH0006246,corporate_group,Huntsville,AL,sponsorship_relationship,5,237,4830.94,5,237,4830.94,47.40,100,85,45,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0025366,HH0025366,corporate_group,Huntsville,AL,ticket_rep,7,235,4823.76,7,235,4823.76,33.57,100,85,85,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0010142,HH0010142,corporate_group,Athens,AL,ticket_rep,7,230,4800.60,7,230,4800.60,32.86,100,85,163,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0004461,HH0004461,corporate_group,Huntsville,AL,group_sales_rep,6,232,4799.69,6,232,4799.69,38.67,100,85,378,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0006790,HH0006790,corporate_group,Birmingham,AL,ticket_rep,6,226,4745.83,6,226,4745.83,37.67,100,85,403,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0008564,HH0008564,corporate_group,Huntsville,AL,group_sales_rep,6,224,4735.04,6,224,4735.04,37.33,100,85,142,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0014955,HH0014955,corporate_group,Madison,AL,sponsorship_relationship,5,236,4726.25,5,236,4726.25,47.20,100,85,142,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0026000,HH0026000,corporate_group,Madison,AL,group_sales_rep,6,234,4703.25,6,234,4703.25,39.00,100,85,86,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0002605,HH0002605,corporate_group,Birmingham,AL,ticket_rep,7,238,4602.33,7,238,4602.33,34.00,100,85,753,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0012190,HH0012190,corporate_group,Madison,AL,sponsorship_relationship,5,215,4590.40,5,215,4590.40,43.00,100,85,154,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0011242,HH0011242,corporate_group,Decatur,AL,sponsorship_relationship,6,229,4496.28,6,229,4496.28,38.17,100,85,417,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0006909,HH0006909,corporate_group,Harvest,AL,ticket_rep,5,213,4464.22,5,213,4464.22,42.60,100,85,155,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0020553,HH0020553,corporate_group,Athens,AL,sponsorship_relationship,5,219,4444.60,5,219,4444.60,43.80,100,75,96,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0005101,HH0005101,corporate_group,Decatur,AL,ticket_rep,7,211,4383.66,7,211,4383.66,30.14,100,85,16,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0004397,HH0004397,corporate_group,Madison,AL,sponsorship_relationship,5,227,4378.36,5,227,4378.36,45.40,100,85,142,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0015881,HH0015881,corporate_group,Madison,AL,group_sales_rep,6,213,4367.83,6,213,4367.83,35.50,100,85,106,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0001038,HH0001038,corporate_group,Decatur,AL,sponsorship_relationship,6,203,4283.12,6,203,4283.12,33.83,100,85,831,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0030421,HH0030421,corporate_group,Harvest,AL,sponsorship_relationship,6,215,4283.03,6,215,4283.03,35.83,100,85,131,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0014081,HH0014081,corporate_group,Huntsville,AL,ticket_rep,6,210,4255.67,6,210,4255.67,35.00,100,85,47,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0001104,HH0001104,corporate_group,Huntsville,AL,sponsorship_relationship,7,204,4220.21,7,204,4220.21,29.14,100,85,19,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0044047,HH0044047,corporate_group,Madison,AL,sponsorship_relationship,5,209,4209.14,5,209,4209.14,41.80,100,85,87,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0012228,HH0012228,corporate_group,Madison,AL,sponsorship_relationship,5,209,4203.02,5,209,4203.02,41.80,100,85,95,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0002206,HH0002206,corporate_group,Madison,AL,ticket_rep,6,211,4199.21,6,211,4199.21,35.17,100,85,740,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0008554,HH0008554,corporate_group,Florence,AL,ticket_rep,5,201,4197.74,5,201,4197.74,40.20,100,75,481,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0028784,HH0028784,corporate_group,Huntsville,AL,ticket_rep,5,205,4176.72,5,205,4176.72,41.00,100,85,464,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0034970,HH0034970,corporate_group,Decatur,AL,group_sales_rep,5,217,4130.47,5,217,4130.47,43.40,100,75,96,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
FAN0002633,HH0002633,corporate_group,Huntsville,AL,ticket_rep,6,203,4127.37,6,203,4127.37,33.83,100,85,381,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0017775,HH0017775,corporate_group,Madison,AL,group_sales_rep,8,205,4126.36,8,205,4126.36,25.63,100,75,5,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0006406,HH0006406,corporate_group,Madison,AL,sponsorship_relationship,5,210,4124.69,5,210,4124.69,42.00,100,85,739,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0014077,HH0014077,corporate_group,Meridianville,AL,sponsorship_relationship,6,196,4066.84,6,196,4066.84,32.67,100,85,491,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0001632,HH0001632,corporate_group,Decatur,AL,group_sales_rep,6,193,4060.08,6,193,4060.08,32.17,100,75,414,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
FAN0031870,HH0031870,corporate_group,Meridianville,AL,group_sales_rep,5,200,4038.26,5,200,4038.26,40.00,100,85,142,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0008806,HH0008806,corporate_group,Madison,AL,ticket_rep,5,202,3991.81,5,202,3991.81,40.40,100,75,427,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0003708,HH0003708,group_buyer,Huntsville,AL,website,11,279,3961.14,11,279,3961.14,25.36,100,85,108,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0032688,HH0032688,corporate_group,Decatur,AL,group_sales_rep,4,200,3954.18,4,200,3954.18,50.00,100,85,17,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0032057,HH0032057,corporate_group,Athens,AL,group_sales_rep,5,209,3936.85,5,209,3936.85,41.80,100,85,31,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000691,HH0000691,group_buyer,Madison,AL,website,12,269,3889.51,12,269,3889.51,22.42,100,85,155,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0020229,HH0020229,corporate_group,Madison,AL,ticket_rep,4,186,3881.79,4,186,3881.79,46.50,100,85,46,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0018401,HH0018401,corporate_group,Huntsville,AL,group_sales_rep,5,191,3875.26,5,191,3875.26,38.20,100,85,373,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0026674,HH0026674,corporate_group,Meridianville,AL,sponsorship_relationship,4,179,3858.86,4,179,3858.86,44.75,100,85,402,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0011487,HH0011487,corporate_group,Madison,AL,ticket_rep,5,185,3855.48,5,185,3855.48,37.00,100,75,93,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
FAN0014923,HH0014923,corporate_group,Madison,AL,sponsorship_relationship,5,188,3809.26,5,188,3809.26,37.60,100,85,44,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0036558,HH0036558,corporate_group,Athens,AL,ticket_rep,6,191,3801.23,6,191,3801.23,31.83,100,85,126,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0018105,HH0018105,corporate_group,Huntsville,AL,sponsorship_relationship,4,182,3728.75,4,182,3728.75,45.50,100,85,380,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0014153,HH0014153,corporate_group,Harvest,AL,sponsorship_relationship,5,185,3728.15,5,185,3728.15,37.00,100,85,158,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0007095,HH0007095,corporate_group,Huntsville,AL,sponsorship_relationship,5,200,3706.15,5,200,3706.15,40.00,100,75,378,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0004824,HH0004824,corporate_group,Athens,AL,ticket_rep,6,186,3697.15,6,186,3697.15,31.00,100,85,403,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0019749,HH0019749,corporate_group,Harvest,AL,group_sales_rep,4,191,3685.54,4,191,3685.54,47.75,100,85,87,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0025310,HH0025310,corporate_group,Huntsville,AL,group_sales_rep,4,184,3683.39,4,184,3683.39,46.00,100,85,106,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0027848,HH0027848,corporate_group,Huntsville,AL,sponsorship_relationship,5,193,3661.53,5,193,3661.53,38.60,100,85,126,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0001803,HH0001803,corporate_group,Nashville,TN,group_sales_rep,6,177,3659.43,6,177,3659.43,29.50,100,75,505,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
FAN0026408,HH0026408,corporate_group,Madison,AL,group_sales_rep,5,183,3637.39,5,183,3637.39,36.60,100,85,163,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0017389,HH0017389,corporate_group,Harvest,AL,sponsorship_relationship,5,181,3623.03,5,181,3623.03,36.20,100,85,466,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0032788,HH0032788,corporate_group,Madison,AL,ticket_rep,4,174,3622.83,4,174,3622.83,43.50,100,85,404,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000942,HH0000942,corporate_group,Decatur,AL,ticket_rep,5,173,3611.34,5,173,3611.34,34.60,100,85,378,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0020654,HH0020654,corporate_group,Birmingham,AL,ticket_rep,4,177,3604.22,4,177,3604.22,44.25,100,85,141,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0017900,HH0017900,corporate_group,Huntsville,AL,sponsorship_relationship,5,172,3600.81,5,172,3600.81,34.40,100,85,140,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0009880,HH0009880,corporate_group,Decatur,AL,ticket_rep,4,180,3530.87,4,180,3530.87,45.00,100,85,506,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0048192,HH0048192,corporate_group,Harvest,AL,ticket_rep,4,165,3529.11,4,165,3529.11,41.25,100,85,56,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0046686,HH0046686,corporate_group,Huntsville,AL,sponsorship_relationship,4,176,3527.98,4,176,3527.98,44.00,100,75,128,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0053317,HH0053317,corporate_group,Madison,AL,group_sales_rep,4,173,3520.86,4,173,3520.86,43.25,100,85,74,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0014082,HH0014082,corporate_group,Madison,AL,ticket_rep,4,169,3516.96,4,169,3516.96,42.25,100,85,1,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0023885,HH0023885,corporate_group,Madison,AL,ticket_rep,5,186,3505.53,5,186,3505.53,37.20,100,85,375,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0026407,HH0026407,corporate_group,Huntsville,AL,ticket_rep,4,172,3502.34,4,172,3502.34,43.00,100,85,450,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0061638,HH0061638,corporate_group,Nashville,TN,group_sales_rep,3,171,3493.15,3,171,3493.15,57.00,100,85,33,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0046723,HH0046723,corporate_group,Nashville,TN,group_sales_rep,4,165,3470.51,4,165,3470.51,41.25,100,85,42,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0032994,HH0032994,corporate_group,Decatur,AL,ticket_rep,4,164,3441.39,4,164,3441.39,41.00,100,85,159,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0027071,HH0027071,corporate_group,Nashville,TN,sponsorship_relationship,5,169,3438.57,5,169,3438.57,33.80,100,75,30,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0030313,HH0030313,corporate_group,Huntsville,AL,ticket_rep,4,169,3431.05,4,169,3431.05,42.25,100,85,31,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000355,HH0000355,group_buyer,Madison,AL,group_sales_rep,11,245,3422.43,11,245,3422.43,22.27,100,85,17,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0020185,HH0020185,corporate_group,Huntsville,AL,sponsorship_relationship,4,167,3420.87,4,167,3420.87,41.75,100,85,383,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0030563,HH0030563,corporate_group,Huntsville,AL,sponsorship_relationship,4,169,3379.62,4,169,3379.62,42.25,100,85,491,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0003569,HH0003569,corporate_group,Madison,AL,sponsorship_relationship,4,165,3379.31,4,165,3379.31,41.25,100,85,154,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0029128,HH0029128,corporate_group,Huntsville,AL,group_sales_rep,4,156,3377.33,4,156,3377.33,39.00,100,75,467,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0026006,HH0026006,corporate_group,Madison,AL,sponsorship_relationship,3,169,3375.06,3,169,3375.06,56.33,100,85,3,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0004970,HH0004970,corporate_group,Huntsville,AL,group_sales_rep,5,173,3355.67,5,173,3355.67,34.60,100,85,154,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0034601,HH0034601,corporate_group,Huntsville,AL,ticket_rep,5,163,3301.53,5,163,3301.53,32.60,100,85,58,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0008502,HH0008502,corporate_group,Harvest,AL,sponsorship_relationship,5,160,3249.78,5,160,3249.78,32.00,100,85,1,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0025865,HH0025865,corporate_group,Huntsville,AL,sponsorship_relationship,5,161,3249.16,5,161,3249.16,32.20,100,85,490,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0017264,HH0017264,corporate_group,Madison,AL,ticket_rep,4,168,3211.88,4,168,3211.88,42.00,100,85,16,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0043293,HH0043293,corporate_group,Florence,AL,sponsorship_relationship,4,157,3201.02,4,157,3201.02,39.25,100,85,154,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0052571,HH0052571,corporate_group,Huntsville,AL,ticket_rep,3,153,3172.09,3,153,3172.09,51.00,100,85,129,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0028363,HH0028363,corporate_group,Madison,AL,sponsorship_relationship,4,155,3166.31,4,155,3166.31,38.75,100,85,374,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0001669,HH0001669,group_buyer,Birmingham,AL,website,10,222,3162.60,10,222,3162.60,22.20,100,85,451,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0029907,HH0029907,corporate_group,Harvest,AL,group_sales_rep,4,157,3150.44,4,157,3150.44,39.25,100,75,481,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
FAN0008565,HH0008565,corporate_group,Madison,AL,ticket_rep,5,152,3135.34,5,152,3135.34,30.40,100,85,140,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0010999,HH0010999,corporate_group,Madison,AL,group_sales_rep,4,152,3134.49,4,152,3134.49,38.00,100,85,107,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0069087,HH0069087,corporate_group,Chattanooga,TN,sponsorship_relationship,3,155,3131.56,3,155,3131.56,51.67,100,75,74,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
