follow_up_id,opportunity_id,fan_id,account_id,game_id,assigned_team,assigned_owner,suggested_action,priority_score,priority_band,due_date,status,outcome,synthetic_data_flag
FUP_00000014,OPP_00035341,FAN_030789,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-02,open,,True
FUP_00000015,OPP_00003732,FAN_003140,,TP_2025_043,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-17,open,,True
FUP_00000016,OPP_00003734,FAN_003140,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-17,open,,True
FUP_00000017,OPP_00010391,FAN_008912,,TP_2024_056,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-09-05,open,,True
FUP_00000018,OPP_00010392,FAN_008912,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-05,open,,True
FUP_00000019,OPP_00034326,FAN_029843,,TP_2024_069,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-09-11,open,,True
FUP_00000020,OPP_00050295,FAN_044102,,TP_2024_053,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-05-09,open,,True
FUP_00000021,OPP_00050296,FAN_044102,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-05-09,open,,True
FUP_00000022,OPP_00010947,FAN_009366,,TP_2023_031,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-04-07,open,,True
FUP_00000023,OPP_00010948,FAN_009366,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-04-07,open,,True
FUP_00000024,OPP_00037376,FAN_032587,,TP_2025_015,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-06-16,open,,True
FUP_00000025,OPP_00037377,FAN_032587,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-06-16,open,,True
FUP_00000026,OPP_00029386,FAN_025438,,TP_2025_002,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-06-03,open,,True
FUP_00000027,OPP_00029387,FAN_025438,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-06-03,open,,True
FUP_00000028,OPP_00025257,FAN_021811,,TP_2024_008,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-06-11,open,,True
FUP_00000029,OPP_00025258,FAN_021811,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-06-11,open,,True
FUP_00000030,OPP_00009731,FAN_008383,,TP_2024_042,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-08-12,open,,True
FUP_00000031,OPP_00009732,FAN_008383,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-08-12,open,,True
FUP_00000032,OPP_00021177,FAN_018174,,TP_2023_069,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2023-09-13,open,,True
FUP_00000033,OPP_00021178,FAN_018174,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2023-09-13,open,,True
FUP_00000034,OPP_00024100,FAN_020747,,TP_2025_059,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-09-01,open,,True
FUP_00000035,OPP_00024102,FAN_020747,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-09-01,open,,True
FUP_00000036,OPP_00019233,FAN_016437,,TP_2024_053,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-08-30,open,,True
FUP_00000037,OPP_00019234,FAN_016437,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-08-30,open,,True
FUP_00000038,OPP_00043436,FAN_037949,,TP_2024_033,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-09-22,open,,True
FUP_00000039,OPP_00043437,FAN_037949,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-22,open,,True
FUP_00000040,OPP_00025593,FAN_022109,,TP_2023_041,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2023-09-15,open,,True
FUP_00000041,OPP_00025595,FAN_022109,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2023-09-15,open,,True
FUP_00000042,OPP_00011262,FAN_009671,,TP_2025_022,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-07-10,open,,True
FUP_00000043,OPP_00011263,FAN_009671,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-10,open,,True
FUP_00000044,OPP_00004337,FAN_003693,,TP_2025_060,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-09-07,open,,True
FUP_00000045,OPP_00004338,FAN_003693,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-09-07,open,,True
FUP_00000046,OPP_00015190,FAN_012967,,TP_2025_046,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-08-09,open,,True
FUP_00000047,OPP_00015191,FAN_012967,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-09,open,,True
FUP_00000048,OPP_00021443,FAN_018404,,TP_2025_042,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-08-01,open,,True
FUP_00000049,OPP_00021444,FAN_018404,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-01,open,,True
FUP_00000050,OPP_00014452,FAN_012294,,TP_2024_067,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-09-12,open,,True
FUP_00000051,OPP_00037055,FAN_032317,,TP_2025_049,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-04,open,,True
FUP_00000052,OPP_00037057,FAN_032317,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-04,open,,True
FUP_00000053,OPP_00002441,FAN_002072,,TP_2023_068,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2023-09-12,open,,True
FUP_00000054,OPP_00015539,FAN_013261,,TP_2025_003,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-06-10,open,,True
FUP_00000055,OPP_00015541,FAN_013261,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-06-10,open,,True
FUP_00000056,OPP_00003466,FAN_002911,,TP_2024_063,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-09-11,open,,True
FUP_00000057,OPP_00003467,FAN_002911,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-11,open,,True
FUP_00000058,OPP_00047378,FAN_041418,,TP_2024_010,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-09-07,open,,True
FUP_00000059,OPP_00047380,FAN_041418,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-07,open,,True
FUP_00000060,OPP_00050293,FAN_044101,,TP_2025_048,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-08-05,open,,True
FUP_00000061,OPP_00050294,FAN_044101,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-05,open,,True
FUP_00000062,OPP_00003647,FAN_003070,,TP_2024_026,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-04-08,open,,True
FUP_00000063,OPP_00003648,FAN_003070,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-04-08,open,,True
FUP_00000064,OPP_00045483,FAN_039736,,TP_2024_051,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-08-18,open,,True
FUP_00000065,OPP_00045485,FAN_039736,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-18,open,,True
FUP_00000066,OPP_00030081,FAN_026051,,TP_2023_064,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2023-09-08,open,,True
FUP_00000067,OPP_00015708,FAN_013420,,TP_2025_044,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-05,open,,True
FUP_00000068,OPP_00015710,FAN_013420,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-05,open,,True
FUP_00000069,OPP_00000500,FAN_000441,,TP_2025_026,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-06-03,open,,True
FUP_00000070,OPP_00000501,FAN_000441,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-06-03,open,,True
FUP_00000071,OPP_00022185,FAN_019007,,TP_2025_056,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-20,open,,True
FUP_00000072,OPP_00022186,FAN_019007,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-20,open,,True
FUP_00000073,OPP_00000547,FAN_000469,,TP_2025_001,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-04-07,open,,True
FUP_00000074,OPP_00000548,FAN_000469,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-04-07,open,,True
FUP_00000075,OPP_00017655,FAN_015114,,TP_2024_051,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-08-12,open,,True
FUP_00000076,OPP_00017656,FAN_015114,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-08-12,open,,True
FUP_00000077,OPP_00017808,FAN_015228,,TP_2024_020,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-06-24,open,,True
FUP_00000078,OPP_00017809,FAN_015228,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-06-24,open,,True
FUP_00000079,OPP_00044045,FAN_038488,,TP_2024_047,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-09-11,open,,True
FUP_00000080,OPP_00044046,FAN_038488,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-11,open,,True
FUP_00000081,OPP_00041004,FAN_035826,,TP_2024_011,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-05-14,open,,True
FUP_00000082,OPP_00041006,FAN_035826,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-05-14,open,,True
FUP_00000083,OPP_00034949,FAN_030436,,TP_2024_014,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-04-28,open,,True
FUP_00000084,OPP_00034950,FAN_030436,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-04-28,open,,True
FUP_00000085,OPP_00051148,FAN_044847,,TP_2024_058,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-05-10,open,,True
FUP_00000086,OPP_00051149,FAN_044847,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-05-10,open,,True
FUP_00000087,OPP_00035070,FAN_030548,,TP_2024_060,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-09-04,open,,True
FUP_00000088,OPP_00004370,FAN_003724,,TP_2025_050,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-08-15,open,,True
FUP_00000089,OPP_00004371,FAN_003724,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-15,open,,True
FUP_00000090,OPP_00013522,FAN_011531,,TP_2025_003,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-05-07,open,,True
FUP_00000091,OPP_00013523,FAN_011531,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-05-07,open,,True
FUP_00000092,OPP_00008647,FAN_007454,,TP_2025_037,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-07-06,open,,True
FUP_00000093,OPP_00008648,FAN_007454,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-06,open,,True
FUP_00000094,OPP_00007297,FAN_006312,,TP_2024_033,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-09-10,open,,True
FUP_00000095,OPP_00007298,FAN_006312,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-10,open,,True
FUP_00000096,OPP_00001375,FAN_001193,,TP_2023_059,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2023-09-12,open,,True
FUP_00000097,OPP_00001377,FAN_001193,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2023-09-12,open,,True
FUP_00000098,OPP_00033702,FAN_029301,,TP_2024_064,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-11-22,open,,True
FUP_00000099,OPP_00033703,FAN_029301,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-11-22,open,,True
FUP_00000100,OPP_00000286,FAN_000257,,TP_2024_053,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-09-13,open,,True
FUP_00000101,OPP_00000287,FAN_000257,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-13,open,,True
FUP_00000102,OPP_00023456,FAN_020200,,TP_2024_054,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-07-13,open,,True
FUP_00000103,OPP_00023457,FAN_020200,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-13,open,,True
FUP_00000104,OPP_00019473,FAN_016636,,TP_2025_033,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-08-18,open,,True
FUP_00000105,OPP_00003315,FAN_002803,,TP_2024_047,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-03-05,open,,True
FUP_00000106,OPP_00003316,FAN_002803,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-03-05,open,,True
FUP_00000107,OPP_00002206,FAN_001886,,TP_2024_056,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-08-13,open,,True
FUP_00000108,OPP_00002207,FAN_001886,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-08-13,open,,True
FUP_00000109,OPP_00012479,FAN_010669,,TP_2025_030,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-06-15,open,,True
FUP_00000110,OPP_00012480,FAN_010669,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-06-15,open,,True
FUP_00000111,OPP_00009149,FAN_007887,,TP_2023_061,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-09-17,open,,True
FUP_00000112,OPP_00009150,FAN_007887,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-09-17,open,,True
FUP_00000113,OPP_00034855,FAN_030355,,TP_2023_066,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-02-24,open,,True
FUP_00000114,OPP_00034857,FAN_030355,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-02-24,open,,True
FUP_00000115,OPP_00045706,FAN_039953,,TP_2025_069,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-09-17,open,,True
FUP_00000116,OPP_00045707,FAN_039953,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-09-17,open,,True
FUP_00000117,OPP_00022832,FAN_019627,,TP_2024_059,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-09-11,open,,True
FUP_00000118,OPP_00022833,FAN_019627,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-11,open,,True
FUP_00000119,OPP_00049826,FAN_043683,,TP_2023_066,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-04-14,open,,True
FUP_00000120,OPP_00049827,FAN_043683,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-04-14,open,,True
FUP_00000121,OPP_00004088,FAN_003489,,TP_2025_054,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-09-05,open,,True
FUP_00000122,OPP_00004089,FAN_003489,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-09-05,open,,True
FUP_00000123,OPP_00041211,FAN_035996,,TP_2025_011,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-04,open,,True
FUP_00000124,OPP_00041212,FAN_035996,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-04,open,,True
FUP_00000125,OPP_00044985,FAN_039304,,TP_2025_037,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-07-04,open,,True
FUP_00000126,OPP_00044986,FAN_039304,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-04,open,,True
FUP_00000127,OPP_00001427,FAN_001233,,TP_2025_021,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-09-14,open,,True
FUP_00000128,OPP_00001428,FAN_001233,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-09-14,open,,True
FUP_00000129,OPP_00041294,FAN_036066,,TP_2024_037,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-10-24,open,,True
FUP_00000130,OPP_00041296,FAN_036066,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-10-24,open,,True
FUP_00000131,OPP_00026701,FAN_023065,,TP_2025_042,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-14,open,,True
FUP_00000132,OPP_00026702,FAN_023065,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-14,open,,True
FUP_00000133,OPP_00027473,FAN_023717,,TP_2025_054,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-17,open,,True
FUP_00000134,OPP_00027475,FAN_023717,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-17,open,,True
FUP_00000135,OPP_00010571,FAN_009068,,TP_2025_042,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-02,open,,True
FUP_00000136,OPP_00010572,FAN_009068,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-02,open,,True
FUP_00000137,OPP_00037412,FAN_032621,,TP_2025_020,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-05-13,open,,True
FUP_00000138,OPP_00044537,FAN_038911,,TP_2025_064,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-09-15,open,,True
FUP_00000139,OPP_00044538,FAN_038911,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-09-15,open,,True
FUP_00000140,OPP_00049021,FAN_042983,,TP_2024_031,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-04-28,open,,True
FUP_00000141,OPP_00049022,FAN_042983,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-04-28,open,,True
FUP_00000142,OPP_00019899,FAN_017032,,TP_2024_060,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-09-03,open,,True
FUP_00000143,OPP_00001136,FAN_000974,,TP_2025_041,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-07-05,open,,True
FUP_00000144,OPP_00001137,FAN_000974,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-05,open,,True
FUP_00000145,OPP_00016061,FAN_013717,,TP_2024_067,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2024-12-06,open,,True
FUP_00000146,OPP_00016062,FAN_013717,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-12-06,open,,True
FUP_00000147,OPP_00015218,FAN_012995,,TP_2025_049,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-26,open,,True
FUP_00000148,OPP_00015220,FAN_012995,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-26,open,,True
FUP_00000149,OPP_00005190,FAN_004411,,TP_2025_028,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-05,open,,True
FUP_00000150,OPP_00005191,FAN_004411,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-08-05,open,,True
FUP_00000151,OPP_00033313,FAN_028952,,TP_2023_059,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-05-03,open,,True
FUP_00000152,OPP_00033314,FAN_028952,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-05-03,open,,True
FUP_00000153,OPP_00036563,FAN_031891,,TP_2025_040,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-07-04,open,,True
FUP_00000154,OPP_00036564,FAN_031891,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-04,open,,True
FUP_00000155,OPP_00031721,FAN_027525,,TP_2025_060,service,Service Rep B,Send service-focused recovery message with next-game offer,100,High,2025-08-31,open,,True
FUP_00000156,OPP_00031279,FAN_027129,,TP_2024_046,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-10-08,open,,True
FUP_00000157,OPP_00031280,FAN_027129,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-10-08,open,,True
FUP_00000158,OPP_00015558,FAN_013280,,TP_2025_014,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-07-18,open,,True
FUP_00000159,OPP_00015559,FAN_013280,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-18,open,,True
FUP_00000160,OPP_00044128,FAN_038555,,TP_2024_001,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-04-18,open,,True
FUP_00000161,OPP_00044129,FAN_038555,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-04-18,open,,True
FUP_00000162,OPP_00039383,FAN_034390,,TP_2024_053,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-09-18,open,,True
FUP_00000163,OPP_00039384,FAN_034390,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-18,open,,True
FUP_00000164,OPP_00046372,FAN_040532,,TP_2024_058,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-09-04,open,,True
FUP_00000165,OPP_00046373,FAN_040532,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-09-04,open,,True
FUP_00000166,OPP_00008332,FAN_007190,,TP_2023_065,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-05-25,open,,True
FUP_00000167,OPP_00008333,FAN_007190,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-05-25,open,,True
FUP_00000168,OPP_00020415,FAN_017482,,TP_2024_014,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-06-22,open,,True
FUP_00000169,OPP_00020416,FAN_017482,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-06-22,open,,True
FUP_00000170,OPP_00027138,FAN_023425,,TP_2025_037,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-07-04,open,,True
FUP_00000171,OPP_00027139,FAN_023425,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-04,open,,True
FUP_00000172,OPP_00001460,FAN_001267,,TP_2025_063,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-09-14,open,,True
FUP_00000173,OPP_00001461,FAN_001267,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-09-14,open,,True
FUP_00000174,OPP_00021865,FAN_018750,,TP_2025_026,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-06-04,open,,True
FUP_00000175,OPP_00021866,FAN_018750,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-06-04,open,,True
FUP_00000176,OPP_00020508,FAN_017571,,TP_2025_029,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-06-22,open,,True
FUP_00000177,OPP_00020510,FAN_017571,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-06-22,open,,True
FUP_00000178,OPP_00043584,FAN_038090,,TP_2023_065,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2023-09-12,open,,True
FUP_00000179,OPP_00043585,FAN_038090,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2023-09-12,open,,True
FUP_00000180,OPP_00030602,FAN_026506,,TP_2023_025,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2023-10-24,open,,True
FUP_00000181,OPP_00030603,FAN_026506,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2023-10-24,open,,True
FUP_00000182,OPP_00008205,FAN_007071,,TP_2025_013,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2025-07-26,open,,True
FUP_00000183,OPP_00008206,FAN_007071,,,sales,Sales Rep A,Route to sales for premium or mini-plan upgrade conversation,100,High,2025-07-26,open,,True
FUP_00000184,OPP_00051144,FAN_044845,,TP_2024_001,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-12-09,open,,True
FUP_00000185,OPP_00051145,FAN_044845,,,sales,Business Development Rep,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-12-09,open,,True
FUP_00000186,OPP_00000911,FAN_000763,,TP_2024_061,service,Service Rep A,Send service-focused recovery message with next-game offer,100,High,2024-07-30,open,,True
FUP_00000187,OPP_00000912,FAN_000763,,,sales,Sales Rep B,Route to sales for premium or mini-plan upgrade conversation,100,High,2024-07-30,open,,True
