account_id,account_name,account_type,account_owner,industry,city,zip_code,first_purchase_date,last_purchase_date,renewal_status,corporate_prospect_flag,synthetic_data_flag
ACCT_00028,Synthetic Corporate Account 0028,corporate,Group Sales Rep B,technology,Madison,35758,2023-05-05,2024-08-11,new,True,True
ACCT_00029,Synthetic Youth Sports Account 0029,youth_sports,Sales Rep C,youth_sports,Florence,35630,2023-09-09,2024-08-29,active,False,True
ACCT_00030,Synthetic School Account 0030,school,Sales Rep C,education,Huntsville,35801,2023-08-25,2025-08-03,new,False,True
ACCT_00031,Synthetic Corporate Account 0031,corporate,Group Sales Rep A,professional_services,Decatur,35601,2024-07-28,2025-08-16,active,True,True
ACCT_00032,Synthetic Local Business Account 0032,local_business,Group Sales Rep B,service_business,Madison,35758,2023-07-29,2024-05-23,renewal_target,True,True
ACCT_00033,Synthetic Local Business Account 0033,local_business,Group Sales Rep A,restaurant,Owens Cross Roads,35763,2024-08-27,2024-09-04,new,True,True
ACCT_00034,Synthetic Youth Sports Account 0034,youth_sports,Group Sales Rep A,youth_sports,Meridianville,35759,2023-04-20,2025-06-10,new,False,True
ACCT_00035,Synthetic School Account 0035,school,Group Sales Rep B,education,Madison,35758,2024-09-05,2025-07-19,lapsed,False,True
ACCT_00036,Synthetic Church Account 0036,church,Sales Rep A,faith_community,Decatur,35601,2023-07-05,2023-07-28,active,False,True
ACCT_00037,Synthetic Youth Sports Account 0037,youth_sports,Group Sales Rep A,youth_sports,Huntsville,35801,2024-09-07,2025-08-16,renewal_target,False,True
ACCT_00038,Synthetic Nonprofit Account 0038,nonprofit,Group Sales Rep B,nonprofit,Decatur,35601,2023-07-06,2023-07-09,active,False,True
ACCT_00039,Synthetic Nonprofit Account 0039,nonprofit,Business Development Rep,nonprofit,Meridianville,35759,2023-05-28,2024-04-12,lapsed,False,True
ACCT_00040,Synthetic Corporate Account 0040,corporate,Sales Rep B,manufacturing,Meridianville,35759,2024-07-23,2025-07-02,lapsed,True,True
ACCT_00041,Synthetic Church Account 0041,church,Sales Rep B,faith_community,Cullman,35055,2023-05-25,2023-09-10,active,False,True
ACCT_00042,Synthetic School Account 0042,school,Sales Rep A,education,Madison,35758,2023-04-19,2024-04-12,renewal_target,False,True
ACCT_00043,Synthetic Local Business Account 0043,local_business,Business Development Rep,service_business,Madison,35758,2023-08-26,2025-08-17,new,True,True
ACCT_00044,Synthetic Church Account 0044,church,Group Sales Rep B,faith_community,Meridianville,35759,2024-08-27,2025-06-01,active,False,True
ACCT_00045,Synthetic Youth Sports Account 0045,youth_sports,Group Sales Rep A,youth_sports,Harvest,35749,2023-06-07,2025-06-12,active,False,True
ACCT_00046,Synthetic Youth Sports Account 0046,youth_sports,Sales Rep C,youth_sports,Hazel Green,35750,2024-05-21,2024-06-20,renewal_target,False,True
ACCT_00047,Synthetic Nonprofit Account 0047,nonprofit,Sales Rep B,nonprofit,Harvest,35749,2023-04-06,2023-06-22,active,False,True
ACCT_00048,Synthetic Church Account 0048,church,Business Development Rep,faith_community,Harvest,35749,2023-06-06,2024-04-10,active,False,True
ACCT_00049,Synthetic Corporate Account 0049,corporate,Sales Rep C,manufacturing,Athens,35611,2023-09-07,2024-07-23,active,True,True
ACCT_00050,Synthetic Corporate Account 0050,corporate,Sales Rep B,professional_services,Meridianville,35759,2023-07-29,2024-08-31,active,True,True
ACCT_00051,Synthetic Local Business Account 0051,local_business,Business Development Rep,retail,Harvest,35749,2024-06-05,2025-09-10,active,True,True
ACCT_00052,Synthetic Community Group Account 0052,community_group,Sales Rep B,community,Hazel Green,35750,2023-08-09,2024-05-21,active,False,True
ACCT_00053,Synthetic Community Group Account 0053,community_group,Sales Rep A,community,Owens Cross Roads,35763,2025-07-18,2025-07-29,lapsed,False,True
ACCT_00054,Synthetic Youth Sports Account 0054,youth_sports,Group Sales Rep B,youth_sports,Athens,35611,2023-07-05,2025-06-12,renewal_target,False,True
ACCT_00055,Synthetic Youth Sports Account 0055,youth_sports,Sales Rep B,youth_sports,Hazel Green,35750,2024-08-07,2024-08-09,renewal_target,False,True
ACCT_00056,Synthetic Church Account 0056,church,Group Sales Rep B,faith_community,Meridianville,35759,2023-09-09,2024-06-08,active,False,True
ACCT_00057,Synthetic Corporate Account 0057,corporate,Group Sales Rep B,professional_services,Hazel Green,35750,2023-05-07,2025-05-30,renewal_target,True,True
ACCT_00058,Synthetic Local Business Account 0058,local_business,Business Development Rep,retail,Athens,35611,2024-09-05,2025-09-14,renewal_target,True,True
ACCT_00059,Synthetic Church Account 0059,church,Business Development Rep,faith_community,Hazel Green,35750,2024-05-12,2024-07-11,lapsed,False,True
ACCT_00060,Synthetic Local Business Account 0060,local_business,Sales Rep B,retail,Huntsville,35801,2023-04-22,2024-09-04,active,True,True
ACCT_00061,Synthetic Local Business Account 0061,local_business,Sales Rep C,restaurant,Cullman,35055,2024-05-24,2024-06-08,active,True,True
ACCT_00062,Synthetic Nonprofit Account 0062,nonprofit,Sales Rep C,nonprofit,Hazel Green,35750,2023-08-11,2024-04-10,active,False,True
ACCT_00063,Synthetic Corporate Account 0063,corporate,Sales Rep A,finance,Owens Cross Roads,35763,2023-04-21,2024-05-09,active,True,True
ACCT_00064,Synthetic Youth Sports Account 0064,youth_sports,Sales Rep C,youth_sports,Decatur,35601,2024-07-26,2024-08-11,new,False,True
ACCT_00065,Synthetic Nonprofit Account 0065,nonprofit,Sales Rep A,nonprofit,Harvest,35749,2023-05-18,2023-08-26,renewal_target,False,True
ACCT_00066,Synthetic Corporate Account 0066,corporate,Sales Rep B,manufacturing,Meridianville,35759,2024-06-19,2025-08-16,renewal_target,True,True
ACCT_00067,Synthetic Nonprofit Account 0067,nonprofit,Group Sales Rep B,nonprofit,Madison,35758,2023-05-23,2023-07-09,active,False,True
ACCT_00068,Synthetic Youth Sports Account 0068,youth_sports,Group Sales Rep A,youth_sports,Owens Cross Roads,35763,2023-07-27,2024-05-12,renewal_target,False,True
ACCT_00069,Synthetic Church Account 0069,church,Group Sales Rep B,faith_community,Huntsville,35801,2024-08-28,2025-04-04,active,False,True
ACCT_00070,Synthetic Youth Sports Account 0070,youth_sports,Group Sales Rep B,youth_sports,Cullman,35055,2023-08-24,2025-09-14,active,False,True
ACCT_00071,Synthetic Local Business Account 0071,local_business,Sales Rep A,restaurant,Owens Cross Roads,35763,2023-05-05,2024-07-24,active,True,True
ACCT_00072,Synthetic Community Group Account 0072,community_group,Sales Rep C,community,Huntsville,35801,2024-05-24,2025-04-27,new,False,True
ACCT_00073,Synthetic Youth Sports Account 0073,youth_sports,Sales Rep B,youth_sports,Cullman,35055,2024-08-08,2025-08-03,lapsed,False,True
ACCT_00074,Synthetic Community Group Account 0074,community_group,Sales Rep C,community,Huntsville,35801,2025-07-20,2025-08-17,new,False,True
ACCT_00075,Synthetic Corporate Account 0075,corporate,Business Development Rep,professional_services,Hazel Green,35750,2023-08-13,2024-09-07,new,True,True
ACCT_00076,Synthetic Corporate Account 0076,corporate,Business Development Rep,construction,Owens Cross Roads,35763,2023-06-22,2025-06-22,renewal_target,True,True
ACCT_00077,Synthetic School Account 0077,school,Group Sales Rep B,education,Owens Cross Roads,35763,2024-09-06,2025-06-17,new,False,True
ACCT_00078,Synthetic Local Business Account 0078,local_business,Sales Rep B,service_business,Athens,35611,2023-08-23,2024-09-08,active,True,True
ACCT_00079,Synthetic Corporate Account 0079,corporate,Sales Rep A,professional_services,Athens,35611,2024-06-09,2024-09-06,active,True,True
ACCT_00080,Synthetic Church Account 0080,church,Business Development Rep,faith_community,Decatur,35601,2024-08-06,2024-08-28,active,False,True
ACCT_00081,Synthetic Nonprofit Account 0081,nonprofit,Business Development Rep,nonprofit,Hazel Green,35750,2025-08-01,2025-08-03,active,False,True
ACCT_00082,Synthetic School Account 0082,school,Business Development Rep,education,Decatur,35601,2023-04-23,2024-06-22,active,False,True
ACCT_00083,Synthetic Community Group Account 0083,community_group,Business Development Rep,community,Cullman,35055,2023-04-20,2023-08-27,renewal_target,True,True
ACCT_00084,Synthetic Corporate Account 0084,corporate,Group Sales Rep B,professional_services,Hazel Green,35750,2025-04-13,2025-04-25,new,True,True
ACCT_00085,Synthetic Corporate Account 0085,corporate,Sales Rep C,manufacturing,Huntsville,35801,2024-04-10,2024-06-22,new,True,True
ACCT_00086,Synthetic Corporate Account 0086,corporate,Group Sales Rep A,professional_services,Athens,35611,2023-07-04,2025-04-22,active,True,True
ACCT_00087,Synthetic Corporate Account 0087,corporate,Sales Rep C,professional_services,Hazel Green,35750,2023-05-20,2024-08-08,active,True,True
ACCT_00088,Synthetic Youth Sports Account 0088,youth_sports,Sales Rep B,youth_sports,Huntsville,35801,2023-05-26,2023-09-08,new,False,True
ACCT_00089,Synthetic Youth Sports Account 0089,youth_sports,Group Sales Rep A,youth_sports,Huntsville,35801,2024-06-21,2025-06-13,active,False,True
ACCT_00090,Synthetic School Account 0090,school,Sales Rep B,education,Meridianville,35759,2023-05-24,2023-07-06,active,False,True
ACCT_00091,Synthetic Community Group Account 0091,community_group,Group Sales Rep A,community,Cullman,35055,2025-05-10,2025-07-19,new,False,True
ACCT_00092,Synthetic Corporate Account 0092,corporate,Sales Rep B,finance,Owens Cross Roads,35763,2025-05-11,2025-08-31,active,True,True
ACCT_00093,Synthetic Corporate Account 0093,corporate,Group Sales Rep B,professional_services,Madison,35758,2023-09-06,2025-09-12,new,True,True
ACCT_00094,Synthetic School Account 0094,school,Sales Rep B,education,Madison,35758,2023-04-18,2024-09-05,lapsed,False,True
ACCT_00095,Synthetic Community Group Account 0095,community_group,Sales Rep B,community,Huntsville,35801,2024-04-28,2024-07-04,active,False,True
ACCT_00096,Synthetic Community Group Account 0096,community_group,Sales Rep C,community,Meridianville,35759,2025-06-15,2025-09-10,new,False,True
ACCT_00097,Synthetic Corporate Account 0097,corporate,Sales Rep C,professional_services,Florence,35630,2024-07-04,2024-08-30,lapsed,True,True
ACCT_00098,Synthetic Youth Sports Account 0098,youth_sports,Group Sales Rep B,youth_sports,Florence,35630,2023-08-08,2025-07-01,new,False,True
ACCT_00099,Synthetic Local Business Account 0099,local_business,Group Sales Rep A,service_business,Athens,35611,2023-04-19,2025-08-30,active,True,True
ACCT_00100,Synthetic School Account 0100,school,Business Development Rep,education,Athens,35611,2023-06-06,2025-08-26,active,False,True
ACCT_00101,Synthetic Local Business Account 0101,local_business,Sales Rep A,retail,Decatur,35601,2024-05-24,2025-04-05,active,True,True
ACCT_00102,Synthetic Church Account 0102,church,Sales Rep C,faith_community,Meridianville,35759,2023-06-09,2024-08-27,new,False,True
ACCT_00103,Synthetic Corporate Account 0103,corporate,Group Sales Rep B,professional_services,Athens,35611,2023-04-06,2024-07-28,lapsed,True,True
ACCT_00104,Synthetic Corporate Account 0104,corporate,Sales Rep B,construction,Meridianville,35759,2023-08-23,2024-07-27,new,True,True
ACCT_00105,Synthetic Local Business Account 0105,local_business,Group Sales Rep A,restaurant,Madison,35758,2023-06-09,2024-08-29,active,True,True
ACCT_00106,Synthetic Nonprofit Account 0106,nonprofit,Group Sales Rep B,nonprofit,Florence,35630,2023-07-30,2024-08-11,lapsed,False,True
ACCT_00107,Synthetic Community Group Account 0107,community_group,Group Sales Rep B,community,Owens Cross Roads,35763,2023-08-12,2025-08-13,new,True,True
ACCT_00108,Synthetic Healthcare Account 0108,healthcare,Sales Rep A,healthcare,Madison,35758,2023-07-27,2024-09-04,active,True,True
ACCT_00109,Synthetic School Account 0109,school,Business Development Rep,education,Madison,35758,2023-07-25,2025-09-10,active,False,True
ACCT_00110,Synthetic School Account 0110,school,Group Sales Rep A,education,Meridianville,35759,2023-08-10,2025-05-09,active,False,True
ACCT_00111,Synthetic Youth Sports Account 0111,youth_sports,Business Development Rep,youth_sports,Madison,35758,2023-07-08,2023-09-06,active,True,True
ACCT_00112,Synthetic Corporate Account 0112,corporate,Business Development Rep,technology,Cullman,35055,2023-08-11,2023-08-26,new,True,True
ACCT_00113,Synthetic School Account 0113,school,Group Sales Rep B,education,Meridianville,35759,2023-08-12,2025-07-02,lapsed,False,True
ACCT_00114,Synthetic Nonprofit Account 0114,nonprofit,Sales Rep A,nonprofit,Madison,35758,2023-08-12,2024-05-23,active,False,True
ACCT_00115,Synthetic Nonprofit Account 0115,nonprofit,Group Sales Rep B,nonprofit,Hazel Green,35750,2024-04-12,2024-07-09,lapsed,False,True
ACCT_00116,Synthetic Church Account 0116,church,Sales Rep A,faith_community,Hazel Green,35750,2024-05-09,2024-07-25,lapsed,False,True
ACCT_00117,Synthetic Corporate Account 0117,corporate,Sales Rep C,professional_services,Athens,35611,2023-06-08,2024-04-27,active,True,True
ACCT_00118,Synthetic Corporate Account 0118,corporate,Sales Rep B,professional_services,Madison,35758,2023-06-06,2025-05-11,new,True,True
ACCT_00119,Synthetic Church Account 0119,church,Sales Rep A,faith_community,Decatur,35601,2023-06-24,2024-06-04,renewal_target,False,True
ACCT_00120,Synthetic Healthcare Account 0120,healthcare,Group Sales Rep B,healthcare,Florence,35630,2023-07-09,2025-07-18,active,True,True
ACCT_00121,Synthetic Corporate Account 0121,corporate,Business Development Rep,construction,Huntsville,35801,2025-05-10,2025-06-01,active,True,True
ACCT_00122,Synthetic Youth Sports Account 0122,youth_sports,Group Sales Rep A,youth_sports,Harvest,35749,2023-04-06,2025-07-03,active,False,True
ACCT_00123,Synthetic Church Account 0123,church,Business Development Rep,faith_community,Meridianville,35759,2023-04-19,2024-08-31,active,True,True
ACCT_00124,Synthetic School Account 0124,school,Group Sales Rep B,education,Decatur,35601,2023-07-08,2025-09-13,new,False,True
ACCT_00125,Synthetic Youth Sports Account 0125,youth_sports,Business Development Rep,youth_sports,Athens,35611,2023-05-28,2025-08-15,lapsed,True,True
ACCT_00126,Synthetic Nonprofit Account 0126,nonprofit,Sales Rep B,nonprofit,Cullman,35055,2023-08-13,2025-06-17,renewal_target,False,True
ACCT_00127,Synthetic School Account 0127,school,Sales Rep C,education,Meridianville,35759,2024-04-09,2024-07-04,new,False,True
ACCT_00128,Synthetic Corporate Account 0128,corporate,Sales Rep A,finance,Madison,35758,2023-05-18,2025-08-12,renewal_target,True,True
ACCT_00129,Synthetic Community Group Account 0129,community_group,Group Sales Rep A,community,Florence,35630,2023-05-21,2024-09-01,active,False,True
ACCT_00130,Synthetic School Account 0130,school,Group Sales Rep B,education,Athens,35611,2025-04-13,2025-09-13,lapsed,False,True
ACCT_00131,Synthetic Corporate Account 0131,corporate,Sales Rep A,professional_services,Florence,35630,2023-08-24,2025-04-08,active,True,True
ACCT_00132,Synthetic School Account 0132,school,Sales Rep A,education,Meridianville,35759,2023-06-10,2023-06-11,new,False,True
ACCT_00133,Synthetic Community Group Account 0133,community_group,Group Sales Rep A,community,Athens,35611,2024-07-13,2024-08-09,active,False,True
ACCT_00134,Synthetic Community Group Account 0134,community_group,Group Sales Rep B,community,Meridianville,35759,2023-08-10,2024-07-28,new,False,True
ACCT_00135,Synthetic Youth Sports Account 0135,youth_sports,Sales Rep A,youth_sports,Harvest,35749,2024-05-09,2025-06-14,active,False,True
ACCT_00136,Synthetic School Account 0136,school,Business Development Rep,education,Huntsville,35801,2023-06-06,2025-05-30,active,False,True
ACCT_00137,Synthetic Youth Sports Account 0137,youth_sports,Group Sales Rep B,youth_sports,Hazel Green,35750,2024-05-23,2025-04-25,active,False,True
ACCT_00138,Synthetic Church Account 0138,church,Business Development Rep,faith_community,Meridianville,35759,2023-08-22,2024-04-13,new,False,True
ACCT_00139,Synthetic School Account 0139,school,Sales Rep A,education,Owens Cross Roads,35763,2023-08-09,2025-05-30,active,False,True
ACCT_00140,Synthetic Corporate Account 0140,corporate,Group Sales Rep B,manufacturing,Owens Cross Roads,35763,2024-08-07,2024-08-10,active,True,True
ACCT_00141,Synthetic Church Account 0141,church,Sales Rep C,faith_community,Cullman,35055,2024-08-10,2025-08-27,active,True,True
ACCT_00142,Synthetic Nonprofit Account 0142,nonprofit,Sales Rep A,nonprofit,Cullman,35055,2024-08-28,2025-08-30,active,False,True
ACCT_00143,Synthetic Community Group Account 0143,community_group,Sales Rep C,community,Decatur,35601,2024-09-04,2025-06-22,active,False,True
ACCT_00144,Synthetic Corporate Account 0144,corporate,Group Sales Rep A,construction,Hazel Green,35750,2024-08-09,2025-06-13,renewal_target,True,True
ACCT_00145,Synthetic School Account 0145,school,Group Sales Rep A,education,Hazel Green,35750,2024-04-25,2025-08-27,new,False,True
ACCT_00146,Synthetic Youth Sports Account 0146,youth_sports,Sales Rep B,youth_sports,Florence,35630,2024-05-11,2025-04-25,active,True,True
ACCT_00147,Synthetic Corporate Account 0147,corporate,Business Development Rep,finance,Florence,35630,2023-07-04,2025-09-13,active,True,True
ACCT_00148,Synthetic Corporate Account 0148,corporate,Sales Rep B,finance,Athens,35611,2023-06-21,2023-08-12,active,True,True
ACCT_00149,Synthetic School Account 0149,school,Sales Rep C,education,Cullman,35055,2025-05-08,2025-08-14,active,False,True
ACCT_00150,Synthetic Community Group Account 0150,community_group,Group Sales Rep A,community,Athens,35611,2023-05-25,2025-04-12,active,False,True
ACCT_00151,Synthetic Youth Sports Account 0151,youth_sports,Sales Rep A,youth_sports,Florence,35630,2023-07-27,2023-09-10,new,True,True
ACCT_00152,Synthetic Church Account 0152,church,Sales Rep A,faith_community,Huntsville,35801,2025-05-07,2025-08-16,lapsed,False,True
ACCT_00153,Synthetic Corporate Account 0153,corporate,Sales Rep C,technology,Florence,35630,2023-08-11,2025-09-13,active,True,True
ACCT_00154,Synthetic Corporate Account 0154,corporate,Sales Rep C,manufacturing,Huntsville,35801,2024-06-18,2025-08-30,active,True,True
ACCT_00155,Synthetic School Account 0155,school,Sales Rep A,education,Madison,35758,2023-08-09,2025-08-03,active,True,True
ACCT_00156,Synthetic Youth Sports Account 0156,youth_sports,Group Sales Rep B,youth_sports,Meridianville,35759,2023-06-06,2024-04-09,renewal_target,False,True
ACCT_00157,Synthetic Youth Sports Account 0157,youth_sports,Sales Rep C,youth_sports,Hazel Green,35750,2025-08-14,2025-09-14,active,False,True
ACCT_00158,Synthetic Church Account 0158,church,Business Development Rep,faith_community,Owens Cross Roads,35763,2023-06-06,2024-07-27,new,False,True
ACCT_00159,Synthetic School Account 0159,school,Sales Rep A,education,Decatur,35601,2023-05-06,2025-04-04,new,False,True
ACCT_00160,Synthetic School Account 0160,school,Group Sales Rep A,education,Owens Cross Roads,35763,2025-04-05,2025-04-08,active,False,True
ACCT_00161,Synthetic Church Account 0161,church,Business Development Rep,faith_community,Huntsville,35801,2023-05-04,2023-07-07,renewal_target,False,True
ACCT_00162,Synthetic Youth Sports Account 0162,youth_sports,Group Sales Rep B,youth_sports,Madison,35758,2023-05-07,2023-06-11,new,False,True
ACCT_00163,Synthetic Church Account 0163,church,Business Development Rep,faith_community,Madison,35758,2024-06-06,2025-07-02,active,False,True
ACCT_00164,Synthetic Church Account 0164,church,Sales Rep B,faith_community,Huntsville,35801,2024-08-29,2025-04-23,active,True,True
ACCT_00165,Synthetic Corporate Account 0165,corporate,Sales Rep A,technology,Harvest,35749,2023-05-05,2025-04-06,new,True,True
ACCT_00166,Synthetic Corporate Account 0166,corporate,Business Development Rep,construction,Florence,35630,2024-07-12,2025-09-12,renewal_target,True,True
ACCT_00167,Synthetic School Account 0167,school,Sales Rep B,education,Harvest,35749,2023-04-08,2024-08-31,active,False,True
ACCT_00168,Synthetic Local Business Account 0168,local_business,Sales Rep B,restaurant,Madison,35758,2023-07-26,2024-09-07,new,True,True
ACCT_00169,Synthetic Corporate Account 0169,corporate,Sales Rep B,technology,Huntsville,35801,2023-05-18,2023-09-08,active,True,True
ACCT_00170,Synthetic Community Group Account 0170,community_group,Sales Rep B,community,Meridianville,35759,2023-08-10,2023-08-23,active,False,True
ACCT_00171,Synthetic School Account 0171,school,Group Sales Rep A,education,Owens Cross Roads,35763,2023-05-16,2023-05-27,active,False,True
ACCT_00172,Synthetic School Account 0172,school,Group Sales Rep B,education,Madison,35758,2023-05-25,2025-06-10,renewal_target,False,True
ACCT_00173,Synthetic Corporate Account 0173,corporate,Sales Rep C,finance,Decatur,35601,2024-06-19,2024-07-09,active,True,True
ACCT_00174,Synthetic Community Group Account 0174,community_group,Sales Rep A,community,Cullman,35055,2025-04-06,2025-05-08,active,False,True
ACCT_00175,Synthetic Local Business Account 0175,local_business,Sales Rep C,retail,Cullman,35055,2024-05-26,2024-08-10,new,True,True
ACCT_00176,Synthetic School Account 0176,school,Business Development Rep,education,Meridianville,35759,2023-05-02,2025-08-31,new,False,True
ACCT_00177,Synthetic Healthcare Account 0177,healthcare,Sales Rep B,healthcare,Harvest,35749,2023-06-09,2025-06-01,new,True,True
ACCT_00178,Synthetic Corporate Account 0178,corporate,Group Sales Rep A,finance,Florence,35630,2023-04-22,2023-06-07,active,True,True
ACCT_00179,Synthetic Corporate Account 0179,corporate,Group Sales Rep B,technology,Harvest,35749,2024-04-23,2024-08-31,active,True,True
ACCT_00180,Synthetic Corporate Account 0180,corporate,Group Sales Rep A,finance,Owens Cross Roads,35763,2023-09-05,2023-09-10,active,True,True
ACCT_00181,Synthetic School Account 0181,school,Sales Rep A,education,Florence,35630,2023-05-18,2025-07-19,active,False,True
ACCT_00182,Synthetic School Account 0182,school,Sales Rep B,education,Owens Cross Roads,35763,2023-04-22,2024-04-27,active,False,True
ACCT_00183,Synthetic Nonprofit Account 0183,nonprofit,Sales Rep A,nonprofit,Harvest,35749,2023-07-30,2024-07-12,active,False,True
ACCT_00184,Synthetic Church Account 0184,church,Sales Rep A,faith_community,Madison,35758,2023-05-04,2024-08-31,active,True,True
ACCT_00185,Synthetic Community Group Account 0185,community_group,Business Development Rep,community,Owens Cross Roads,35763,2024-05-10,2025-04-13,renewal_target,True,True
ACCT_00186,Synthetic School Account 0186,school,Group Sales Rep A,education,Huntsville,35801,2023-07-27,2025-05-27,active,False,True
ACCT_00187,Synthetic Corporate Account 0187,corporate,Group Sales Rep B,technology,Decatur,35601,2023-04-19,2025-08-30,new,True,True
ACCT_00188,Synthetic Youth Sports Account 0188,youth_sports,Sales Rep B,youth_sports,Athens,35611,2024-04-10,2024-08-31,active,False,True
ACCT_00189,Synthetic Youth Sports Account 0189,youth_sports,Business Development Rep,youth_sports,Decatur,35601,2023-04-06,2025-08-26,active,False,True
ACCT_00190,Synthetic Church Account 0190,church,Group Sales Rep A,faith_community,Cullman,35055,2023-05-16,2023-08-09,active,True,True
ACCT_00191,Synthetic Youth Sports Account 0191,youth_sports,Business Development Rep,youth_sports,Harvest,35749,2023-08-23,2024-07-24,new,False,True
ACCT_00192,Synthetic School Account 0192,school,Business Development Rep,education,Cullman,35055,2023-06-10,2025-08-27,renewal_target,False,True
ACCT_00193,Synthetic Church Account 0193,church,Business Development Rep,faith_community,Decatur,35601,2023-05-17,2023-05-18,active,False,True
ACCT_00194,Synthetic Nonprofit Account 0194,nonprofit,Sales Rep C,nonprofit,Decatur,35601,2024-05-07,2024-05-09,renewal_target,False,True
ACCT_00195,Synthetic Local Business Account 0195,local_business,Sales Rep C,retail,Cullman,35055,2023-07-27,2024-05-23,new,True,True
ACCT_00196,Synthetic Nonprofit Account 0196,nonprofit,Business Development Rep,nonprofit,Cullman,35055,2023-04-22,2024-08-31,renewal_target,False,True
ACCT_00197,Synthetic Church Account 0197,church,Business Development Rep,faith_community,Owens Cross Roads,35763,2023-05-17,2024-06-23,lapsed,False,True
ACCT_00198,Synthetic Church Account 0198,church,Group Sales Rep A,faith_community,Harvest,35749,2023-05-20,2023-09-08,active,False,True
ACCT_00199,Synthetic School Account 0199,school,Sales Rep B,education,Athens,35611,2023-04-22,2024-04-12,active,True,True
ACCT_00200,Synthetic Youth Sports Account 0200,youth_sports,Sales Rep C,youth_sports,Florence,35630,2024-07-24,2025-06-14,lapsed,False,True
ACCT_00201,Synthetic Corporate Account 0201,corporate,Group Sales Rep B,manufacturing,Harvest,35749,2023-07-05,2025-05-29,active,True,True
